name_possible_match,category_possible_match,street_address_possible_match,zip_code_possible_match,name_snap_wic,category_snap_wic,street_address_snap_wic,zip_code_snap_wic,distance,snap_wic_index,possible_match_index,is_match,new_category,closed_possible_match,closed_snap_wic,duplicate_snap_wic
Local Mission Market,Supermarkets, ,,Serve U Market,Stores that Accept SNAP/WIC,2750 21st St,94110,378.2276971,39,348,,Liquor Store,,,
Central Drug Store,Drug Stores,4494 Mission Street,94112,EXCELSIOR LIQUOR,Stores that Accept SNAP/WIC,4501 Mission St,94112,44.49105796,40,181,,Liquor Store,,,
Shell Food Mart,Corner Stores, 3rd Street,,SF 3rd Street Shell 153,Stores that Accept SNAP/WIC,551 3rd St,94107,48.46075855,41,2,x,corner store,,,
store,Corner Stores, ,,Fishtail Market,Stores that Accept SNAP/WIC,352 Turk St,94102,98.52332613,42,167,,corner store,x,,
Woerners,Liquor Stores, ,,California Produce Market,Stores that Accept SNAP/WIC,986 Polk St,94109,108.4550936,43,287,,supermarket,,,
Tierra Santa Market,Corner Stores, ,,Grocery Outlet Of Visitacion Valley 244,Stores that Accept SNAP/WIC,2630 Bay Shore Blvd,94134,1888.801879,44,34,,supermarket,,,
All States Best Foods,Corner Stores,1607 20th Street,94107,M & W MARKET,Stores that Accept SNAP/WIC,1800 23rd St,94107,558.3769839,45,120,,Liquor Store,,,
Mi Tierra,International Grocery Stores, ,,SMART & FINAL 351,Stores that Accept SNAP/WIC,350 7th Ave,94103,393.2874,46,330,,supermarket,,,
Precita Food Mart,Corner Stores,35 Precita Avenue,94110,Mission Liquor Store,Stores that Accept SNAP/WIC,3168 Mission St,94110,111.2611032,47,6,,Liquor Store,,,
Mi Pueblito Market,International Grocery Stores,2765 Mission Street,,23rd & Mission Produce,Stores that Accept SNAP/WIC,2700 Mission St,94110,97.92557095,48,351,,corner store,,,
Food Mart,Corner Stores, ,,Fresh Start 2,Stores that Accept SNAP/WIC,2400 San Bruno Ave,94134,20.98409592,49,35,x,corner store,,,
Corner Store,Corner Stores, ,,A and N Liquors,Stores that Accept SNAP/WIC,1521 Ocean Ave,94112,399.2227056,50,117,,Liquor Store,,,
Kim Huong,International Grocery Stores, ,,MARYLAND MARKET,Stores that Accept SNAP/WIC,300 Turk St,94102,142.8096059,51,135,,corner store,,,
All States Best Foods,Corner Stores,1607 20th Street,94107,POTRERO TERRACE MARKET,Stores that Accept SNAP/WIC,990 Wisconsin St,94107,563.6704158,52,120,,corner store,,,
Mi Pueblito Market,International Grocery Stores,2765 Mission Street,,SUN FAT SEAFOOD,Stores that Accept SNAP/WIC,2687 Mission St,94110,141.2020951,53,351,,supermarket,,,
Noriega Produce Market,Supermarkets,3821;3845 Noriega Street,,"Noriega Produce, Llc",Stores that Accept SNAP/WIC,3821 Noriega St,94122,0.6374437776,54,364,x,supermarket,,,
Victoria Liquor & Groceries,Liquor Stores,201;207 Gough Street,,NICK'S SUPER MARKET,Stores that Accept SNAP/WIC,144 PAGE STREET,94102,128.871589,55,224,,supermarket,,,
Clay Medical Pharmacy,Drug Stores,929 Clay Street,,Komi Food Company,Stores that Accept SNAP/WIC,898 Stockton St,94108,53.79881453,56,175,,International Grocery Stores,,,
Daldas Market,Supermarkets, ,,Dalda's Community Maarket,Stores that Accept SNAP/WIC,186 Eddy St,94102,35.31928026,57,358,,corner store,,,
Nob Hill Liquors,Liquor Stores, ,,Nob Hill Liquor,Stores that Accept SNAP/WIC,1000 Hyde St,94109,9.875807229,58,289,x,Liquor Store,,,
Healthy Spirits,Corner Stores, ,,Spotlite Market,Stores that Accept SNAP/WIC,298 Guerrero St,94103,248.1011499,59,19,,corner store,,,
Mollie Stone's,Supermarkets,635 Portola Drive,94127,MOLLIE STONE'S Tower Market,Stores that Accept SNAP/WIC,635 Portola Dr,94127,17.49423986,60,320,x,supermarket,,,
Al Rayan Mountain,Liquor Stores,1400 Sutter Street,,USA MARKET,Stores that Accept SNAP/WIC,904 Eddy St,94109,538.7685972,61,247,,corner store,,,
Food and Liquor World,Liquor Stores,728 Post Street,94109,Yogi Food Market 62,Stores that Accept SNAP/WIC,908 Sutter St,94109,144.5450696,62,222,,corner store,,,
H Mart,International Grocery Stores,3995 Alemany Boulevard,,Mikey's Market & Liquor,Stores that Accept SNAP/WIC,295 Orizaba Ave,94132,603.8184754,63,361,,Liquor Store,,,
Loop,Corner Stores,1759 Lincoln Way,94122,Chevron 1539,Stores that Accept SNAP/WIC,1288 19th Ave,94122,158.2864467,64,8,,corner store,,,
J & L Vegi Supermarket,International Grocery Stores,1215 Stockton Street,,"New Louie's, Inc.",Stores that Accept SNAP/WIC,1213 Stockton St,94133,20.09253275,65,347,,n/a,,x,
Frank's Market Liquor,Corner Stores, ,,La Loma 6,Stores that Accept SNAP/WIC,4788 Mission St,94112,52.6960687,66,53,,International Grocery Stores,,,
Rhea's Market & Deli,Corner Stores,800 Valencia Street,,Pay And Save Market ,Stores that Accept SNAP/WIC,599 Guerrero St,94110,271.0400355,67,139,,corner store,,,
--,International Grocery Stores, ,,Jamie Supermarket,Stores that Accept SNAP/WIC,1135 Stockton St,94133,48.33702423,68,106,,corner store,x,,
La Palma Mexicatessen,International Grocery Stores,2884 24th St,94110,Samy's Liquor,Stores that Accept SNAP/WIC,2847 24th St,94110,104.2877688,69,207,,Liquor Store,,,
Foodsco,Supermarkets,345 Williams Avenue,94124,Mikes Market,Stores that Accept SNAP/WIC,2200 Silver Ave,94124,744.5623573,70,311,,Liquor Store,,,
Wellman's HealthMart,Drug Stores,1053 Stockton Street,,Vegiland Market Inc 1,Stores that Accept SNAP/WIC,1055 Stockton St,94108,20.25475044,71,190,,International Grocery Stores,,,
Victoria Liquor & Groceries,Liquor Stores,201;207 Gough Street,,Victoria Liquor and Groceries,Stores that Accept SNAP/WIC,201 Gough St,94102,28.20822949,72,224,x,Liquor Store,,,
N & V Liquor & Grocery,Corner Stores,2702 24th Street,94110,Ricci's Market,Stores that Accept SNAP/WIC,2790 24th St,94110,122.6120494,73,140,,corner store,,,
Casa Maria,International Grocery Stores, ,,Market Day At Bethany Center,Stores that Accept SNAP/WIC,580 Capp St,94110,422.2935945,74,349,,Farmers Market,,,
Mi Tierra,International Grocery Stores, ,,Mi Tierra Supermarket,Stores that Accept SNAP/WIC,1000 Howard St,94103,12.32047623,75,330,x,International Grocery Stores,,,
Mike's Discount Liquors,Liquor Stores, ,,Baby & Mom Nutrition,Stores that Accept SNAP/WIC,4992 Mission St,94112,199.4680717,76,243,,Supermarket,,,
New Princess Market,Corner Stores, ,,Cadillac Grocery,Stores that Accept SNAP/WIC,499 Eddy St,94109,29.36143016,77,129,,corner store,,,
Woerners,Liquor Stores, ,,Mid City Market,Stores that Accept SNAP/WIC,868 Geary St,94109,61.6660308,78,287,,corner store,,,
Quic Qic Groceries,Corner Stores, ,,All Seasons Market,Stores that Accept SNAP/WIC,401 Capp St,94110,309.8505645,79,105,,corner store,x,,
7-Eleven,Corner Stores,195 Pine Street,94111,Amazon Go - 300 California St,Stores that Accept SNAP/WIC,300 California St,94104,138.799912,80,92,,Supermarket,,,
Walgreens,Drug Stores,33 Drumm Street,,Amazon Go - 3 Embarcadero Ctr,Stores that Accept SNAP/WIC,3 Embarcadero Ctr,94111,108.8264736,81,174,,Supermarket,,,
Grocery Outlet,Supermarkets,1245 South Van Ness Avenue,94110,W & K MARKET,Stores that Accept SNAP/WIC,3098 24th St,94110,175.2580323,82,322,,corner store,,,
Lowell Market,Corner Stores, ,,LA LOMA 3,Stores that Accept SNAP/WIC,5652 Mission St,94112,238.7113024,83,170,,International Grocery Stores,,,
Walgreens,Drug Stores, ,,Amazon Go - 98 Post St,Stores that Accept SNAP/WIC,98 Post St,94104,159.9178129,84,191,,supermarket,,,
Walgreens,Drug Stores,1979 Mission Street,,S & M Liquor And Market Inc,Stores that Accept SNAP/WIC,1939 Mission St,94103,67.73793621,85,173,,Liquor Store,,,
Super Save,Supermarkets, ,,SURFSIDE LIQUOR & GROCERY,Stores that Accept SNAP/WIC,950 Innes Ave,94124,1944.971187,86,328,,Liquor Store,,,
Tierra Santa Market,Corner Stores, ,,Leland Market,Stores that Accept SNAP/WIC,65 Leland Ave,94134,1522.512526,87,34,,International Grocery Stores,,,
X-Press Market,Corner Stores, ,,Paradise Coffee & Donuts,Stores that Accept SNAP/WIC,453 Ofarrell St,94102,58.35378497,88,41,,--,,,
Snack & Bottle Shop,Liquor Stores,644 Persia Avenue,94112,Snack And Bottle Shop,Stores that Accept SNAP/WIC,644 Persia Ave,94112,10.57383478,89,294,x,Liquor Store,,,
Spicely,Corner Stores, ,,Amazon Go - 575 Market St,Stores that Accept SNAP/WIC,575 Market St,94105,74.49193437,90,133,,supermarket,,,
Pacific Super,International Grocery Stores, ,,3J Family Market,Stores that Accept SNAP/WIC,198 Broad St,94112,550.4557649,91,335,,corner store,,,
Nijiya Market,International Grocery Stores,1737 Post Street,,Convenience Deli & Grocery,Stores that Accept SNAP/WIC,1201 Laguna St,94115,444.4143075,92,337,,corner store,,,
Sherman Market,Corner Stores, ,,The Silver Platter,Stores that Accept SNAP/WIC,2501 Van Ness Ave,94109,126.34318,93,66,,Liquor Store,,,
Sam & Son Market,Corner Stores,1321 A Powell Street,,Wendy And Moon Grocery,Stores that Accept SNAP/WIC,1321A Powell St,94133,18.98312955,94,103,x,corner store,,,
Reliable Rexall Drugs,Drug Stores,801 Irving Street,94122,Lincoln Way Shell 154,Stores that Accept SNAP/WIC,601 Lincoln Way,94122,288.6983868,95,187,,corner store,,,
Shell Food Mart,Corner Stores,319 Bayshore Boulevard,94124,JR Seafood LLC,Stores that Accept SNAP/WIC,310 Bay Shore Blvd,94124,39.53719754,96,5,,supermarket,,,
Sunny Country Foods,Corner Stores,1101 Stanyan Street,94117,UCSF Parnassus,Stores that Accept SNAP/WIC,505 Parnassus Ave,94143,446.0765053,97,96,,Farmers Market,,,
Food Mart,Corner Stores,1015 Ocean Avenue,,Wiley's Liqour,Stores that Accept SNAP/WIC,1015 Ocean Ave,94112,12.89902649,98,111,,Liquor Store,,,
Lee's Market,International Grocery Stores,1401 Stockton Street,,"Northern Herbs, Inc.",Stores that Accept SNAP/WIC,1418 Stockton St,94133,27.72375205,99,325,,International Grocery Stores,,,
Heart of the City Farmers Market (Civic Center),Farmers Markets,1 United Nations Plaza,94102,McAllister Liquor and Grocery,Stores that Accept SNAP/WIC,136 McAllister St,94102,60.24294992,100,217,,corner store,,,
El Chico Market #4,International Grocery Stores,2965 24th St,94110,Belmar Meat Market,Stores that Accept SNAP/WIC,2989 24th St,94110,33.32298811,101,206,,supermarket,,,
Stardust Market,Corner Stores,3801 Geary Boulevard,94118,Abraham Farmers Market,Stores that Accept SNAP/WIC,3931 Geary Blvd,94118,132.5152355,102,168,,supermarket,,,
Battambang,International Grocery Stores,339 Eddy St,94102,El Dorado Market,Stores that Accept SNAP/WIC,124 Jones St,94102,163.4727902,103,209,,corner store,,,
Mainland Market Co.,Corner Stores,5601 Geary Boulevard,,Royal Market And Bakery,Stores that Accept SNAP/WIC,5335 Geary Blvd,94121,248.9615049,104,155,,supermarket,,,
ampm,Corner Stores, ,,Quality Gas For Your Cash Arco AM PM 82613,Stores that Accept SNAP/WIC,5898 Mission St,94112,45.87275095,105,56,x,corner store,,,
Battambang,International Grocery Stores,339 Eddy St,94102,Radman's Produce Market,Stores that Accept SNAP/WIC,201 Turk St Ste D,94102,128.2574409,106,209,,corner store,,,
Foodsco,Supermarkets,345 Williams Avenue,94124,FOODS CO 351,Stores that Accept SNAP/WIC,345 Williams Ave,94124,49.46695493,107,311,x,supermarket,,,
