name_possible_match,category_possible_match,street_address_possible_match,zip_code_possible_match,name_snap_wic,category_snap_wic,street_address_snap_wic,zip_code_snap_wic,distance,snap_wic_index,possible_match_index,is_match,new_category,closed_possible_match,closed_snap_wic,duplicate_snap_wic
Little Paradise,International Grocery Stores, ,,SK&L Trading LLC,Stores that Accept SNAP/WIC,1101 Stockton St,94133,12.64468358,166,106,x,International Grocery Stores,,x,
Rhea's Market & Deli,Corner Stores,800 Valencia Street,,Mikes Liquors & Grocerie,Stores that Accept SNAP/WIC,2499 Mission St,94110,396.3278279,167,139,,corner store,,,
City Produce,Supermarkets, ,,City Produce Market,Stores that Accept SNAP/WIC,174 6th St,94103,23.68178037,168,379,x,supermarket,,,
N & V Liquor & Grocery,Corner Stores,2702 24th Street,94110,Fresh Start 1,Stores that Accept SNAP/WIC,2631 23rd St,94110,144.4631854,169,140,,supermarket,,,
Fox Market,Corner Stores, ,,Rainbow Market & Deli,Stores that Accept SNAP/WIC,684 Larkin St,94109,98.27515103,170,128,,corner store,,,
Jonells,Liquor Stores, ,,Ez Dollars,Stores that Accept SNAP/WIC,335 Jones St,94102,35.63985515,171,288,,supermarket,x,,
Healthy Spirits,Liquor Stores,249 Cortland Avenue,94110,Avedano's Meats,Stores that Accept SNAP/WIC,235 Cortland Ave,94110,26.52629218,172,237,,supermarket,,,
Tierra Santa Market,Corner Stores, ,,L & J Groceries,Stores that Accept SNAP/WIC,21 Leland Ave,94134,1550.306606,173,34,,supermarket,,,
Al Rayan Mountain,Liquor Stores,1400 Sutter Street,,Gkp Market,Stores that Accept SNAP/WIC,995 Ellis St,94109,468.7163737,174,247,,corner store,,,
Fulton Food Shop,Corner Stores, ,,Golden Gate Central Market,Stores that Accept SNAP/WIC,2101 Golden Gate Ave,94118,257.4349835,175,49,,corner store,,,
Star Market,Corner Stores, ,,H & L Supermarket 1,Stores that Accept SNAP/WIC,669 Geary St,94102,41.32700982,176,16,,International Grocery Stores,,,
Eddy's Market,Corner Stores,951 Irving Street,94122,ANDRONICO'S COMMUNITY MKT 2,Stores that Accept SNAP/WIC,1200 IRVING ST,94133,255.5853441,177,91,,supermarket,,,
Foodsco,Supermarkets,345 Williams Avenue,94124,FOODS CO #351,Stores that Accept SNAP/WIC,345 WILLIAMS AVE,94124,4.050195638,178,311,x,supermarket,,,
N & V Liquor & Grocery,Corner Stores,2702 24th Street,94110,FRESH START #1,Stores that Accept SNAP/WIC,2631 23RD ST,94110,137.8623962,179,140,,supermarket,,,x
Food Mart,Corner Stores, ,,FRESH START #2,Stores that Accept SNAP/WIC,2400 SAN BRUNO AVE,94134,21.0308029,180,35,x,supermarket,,,x
Pho Tot,International Grocery Stores, ,,GUZMAN'S PRODUCE MARKET,Stores that Accept SNAP/WIC,5229 MISSION ST,94112,198.4189871,181,329,,supermarket,,,x
Lucky,Supermarkets,1515 Sloat Boulevard,94132,LUCKY #755,Stores that Accept SNAP/WIC,1515 SLOAT BLVD,94132,135.8331152,182,309,x,supermarket,,,
N & V Liquor & Grocery,Corner Stores,2702 24th Street,94110,LUNA'S COFFEE HOUSE,Stores that Accept SNAP/WIC,1101 POTRERO AVE,94110,132.874793,183,140,,--,,,
Snack & Bottle Shop,Liquor Stores,644 Persia Avenue,94112,M & M SHORT STOP,Stores that Accept SNAP/WIC,2145A GENEVA AVE,94134,1597.861987,184,294,,Liquor Store,,,x
Frank's Market Liquor,Corner Stores, ,,SAN FRANCISCO FARMERS MKT.,Stores that Accept SNAP/WIC,4929 MISSION ST,94112,281.738219,185,53,,supermarket,,,x
Smart & Final,Supermarkets, ,,SMART & FINAL #351,Stores that Accept SNAP/WIC,350 SEVENTH AVE,94118,49.95995114,186,312,x,supermarket,,,
Smart & Final,Supermarkets,355 Bayshore Boulevard,94124,SMART & FINAL #438,Stores that Accept SNAP/WIC,355 BAYSHORE BLVD,94124,16.09040052,187,340,x,supermarket,,,
Super Save,Supermarkets, ,,SUPER SAVE SUPERMARKET,Stores that Accept SNAP/WIC,4517 3RD ST,94124,3.590240424,188,328,x,supermarket,,,
